Local Date/Time	Relative Time	oven:setpoint [°C]
06/15/2022 13:23:27	00:00:26.588	45.000
06/15/2022 13:23:27	00:00:26.690	45.000
06/15/2022 13:23:28	00:00:26.793	45.000
06/15/2022 13:23:28	00:00:26.895	45.000
06/15/2022 13:23:28	00:00:26.997	45.000
06/15/2022 13:23:28	00:00:27.099	45.000
06/15/2022 13:23:28	00:00:27.201	45.000
06/15/2022 13:23:28	00:00:27.302	45.000
06/15/2022 13:23:28	00:00:27.402	45.000
06/15/2022 13:23:28	00:00:27.502	45.000
06/15/2022 13:23:28	00:00:27.602	45.000
06/15/2022 13:23:28	00:00:27.702	45.000
06/15/2022 13:23:29	00:00:27.802	45.000
06/15/2022 13:23:29	00:00:27.902	45.000
06/15/2022 13:23:29	00:00:28.004	45.000
06/15/2022 13:23:29	00:00:28.108	45.000
06/15/2022 13:23:29	00:00:28.211	45.000
06/15/2022 13:23:29	00:00:28.313	45.000
06/15/2022 13:23:29	00:00:28.415	45.000
06/15/2022 13:23:29	00:00:28.517	45.000
06/15/2022 13:23:29	00:00:28.618	45.000
06/15/2022 13:23:29	00:00:28.718	45.000
06/15/2022 13:23:30	00:00:28.818	45.000
06/15/2022 13:23:30	00:00:28.918	45.000
06/15/2022 13:23:30	00:00:29.018	45.000
06/15/2022 13:23:30	00:00:29.120	45.000
06/15/2022 13:23:30	00:00:29.220	45.000
06/15/2022 13:23:30	00:00:29.322	45.000
06/15/2022 13:23:30	00:00:29.424	45.000
06/15/2022 13:23:30	00:00:29.526	45.000
06/15/2022 13:23:30	00:00:29.629	45.000
06/15/2022 13:23:30	00:00:29.731	45.000
06/15/2022 13:23:31	00:00:29.833	45.000
06/15/2022 13:23:31	00:00:29.935	45.000
06/15/2022 13:23:31	00:00:30.037	45.000
06/15/2022 13:23:31	00:00:30.139	45.000
06/15/2022 13:23:31	00:00:30.240	45.000
06/15/2022 13:23:31	00:00:30.340	45.000
06/15/2022 13:23:31	00:00:30.440	45.000
06/15/2022 13:23:31	00:00:30.542	45.000
06/15/2022 13:23:31	00:00:30.642	45.000
06/15/2022 13:23:31	00:00:30.744	45.000
06/15/2022 13:23:32	00:00:30.846	45.000
06/15/2022 13:23:32	00:00:30.948	45.000
06/15/2022 13:23:32	00:00:31.051	45.000
06/15/2022 13:23:32	00:00:31.153	45.000
06/15/2022 13:23:32	00:00:31.255	45.000
06/15/2022 13:23:32	00:00:31.357	45.000
06/15/2022 13:23:32	00:00:31.458	45.000
06/15/2022 13:23:32	00:00:31.558	45.000
06/15/2022 13:23:32	00:00:31.658	45.000
06/15/2022 13:23:32	00:00:31.758	45.000
06/15/2022 13:23:33	00:00:31.858	45.000
06/15/2022 13:23:33	00:00:31.958	45.000
06/15/2022 13:23:33	00:00:32.060	45.000
06/15/2022 13:23:33	00:00:32.162	45.000
06/15/2022 13:23:33	00:00:32.264	45.000
06/15/2022 13:23:33	00:00:32.366	45.000
06/15/2022 13:23:33	00:00:32.469	45.000
06/15/2022 13:23:33	00:00:32.571	45.000
06/15/2022 13:23:33	00:00:32.673	45.000
06/15/2022 13:23:33	00:00:32.775	45.000
06/15/2022 13:23:35	00:00:32.876	45.000
06/15/2022 13:23:35	00:00:32.977	45.000
06/15/2022 13:23:35	00:00:33.078	45.000
06/15/2022 13:23:35	00:00:33.178	45.000
06/15/2022 13:23:35	00:00:33.278	45.000
06/15/2022 13:23:35	00:00:33.378	45.000
06/15/2022 13:23:35	00:00:33.480	45.000
06/15/2022 13:23:35	00:00:33.582	45.000
06/15/2022 13:23:35	00:00:33.684	45.000
06/15/2022 13:23:35	00:00:33.776	45.000
06/15/2022 13:23:35	00:00:33.800	45.000
06/15/2022 13:23:35	00:00:33.814	45.000
06/15/2022 13:23:35	00:00:33.831	45.000
06/15/2022 13:23:35	00:00:33.849	45.000
06/15/2022 13:23:35	00:00:33.875	45.000
06/15/2022 13:23:35	00:00:33.897	45.000
06/15/2022 13:23:35	00:00:33.921	45.000
06/15/2022 13:23:35	00:00:33.947	45.000
06/15/2022 13:23:35	00:00:33.975	45.000
06/15/2022 13:23:35	00:00:34.007	45.000
06/15/2022 13:23:35	00:00:34.038	45.000
06/15/2022 13:23:35	00:00:34.073	45.000
06/15/2022 13:23:35	00:00:34.109	45.000
06/15/2022 13:23:35	00:00:34.147	45.000
06/15/2022 13:23:35	00:00:34.156	45.000
06/15/2022 13:23:35	00:00:34.179	45.000
06/15/2022 13:23:35	00:00:34.192	45.000
06/15/2022 13:23:35	00:00:34.209	45.000
06/15/2022 13:23:35	00:00:34.226	45.000
06/15/2022 13:23:35	00:00:34.252	45.000
06/15/2022 13:23:35	00:00:34.271	45.000
06/15/2022 13:23:35	00:00:34.282	45.000
06/15/2022 13:23:35	00:00:34.296	45.000
06/15/2022 13:23:35	00:00:34.313	45.000
06/15/2022 13:23:35	00:00:34.330	45.000
06/15/2022 13:23:35	00:00:34.351	45.000
06/15/2022 13:23:35	00:00:34.374	45.000
06/15/2022 13:23:35	00:00:34.399	45.000
06/15/2022 13:23:35	00:00:34.424	45.000
06/15/2022 13:23:35	00:00:34.452	45.000
06/15/2022 13:23:35	00:00:34.482	45.000
06/15/2022 13:23:35	00:00:34.514	45.000
06/15/2022 13:23:35	00:00:34.548	45.000
06/15/2022 13:23:35	00:00:34.584	45.000
06/15/2022 13:23:35	00:00:34.622	45.000
06/15/2022 13:23:35	00:00:34.662	45.000
06/15/2022 13:23:35	00:00:34.704	45.000
06/15/2022 13:23:35	00:00:34.748	45.000
06/15/2022 13:23:35	00:00:34.794	45.000
06/15/2022 13:23:36	00:00:34.848	45.000
06/15/2022 13:23:36	00:00:34.898	45.000
06/15/2022 13:23:36	00:00:34.952	45.000
06/15/2022 13:23:36	00:00:35.006	45.000
06/15/2022 13:23:36	00:00:35.062	45.000
06/15/2022 13:23:36	00:00:35.120	45.000
