Local Date/Time	Relative Time	valve-t:angle [degrees]
06/15/2022 13:39:03	00:16:02.673	120.000
06/15/2022 13:39:04	00:16:03.687	120.000
06/15/2022 13:39:05	00:16:04.697	120.000
06/15/2022 13:39:06	00:16:05.699	120.000
06/15/2022 13:39:07	00:16:06.707	120.000
06/15/2022 13:39:08	00:16:07.717	120.000
06/15/2022 13:39:09	00:16:08.729	120.000
06/15/2022 13:39:10	00:16:09.732	120.000
06/15/2022 13:39:11	00:16:10.738	120.000
06/15/2022 13:39:12	00:16:11.746	120.000
06/15/2022 13:39:13	00:16:12.750	120.000
06/15/2022 13:39:14	00:16:13.745	120.000
06/15/2022 13:39:15	00:16:14.755	120.000
06/15/2022 13:39:16	00:16:15.768	120.000
06/15/2022 13:39:17	00:16:16.767	120.000
06/15/2022 13:39:18	00:16:17.767	120.000
06/15/2022 13:39:19	00:16:18.777	120.000
06/15/2022 13:39:20	00:16:19.783	120.000
06/15/2022 13:39:21	00:16:20.792	120.000
06/15/2022 13:39:22	00:16:21.800	120.000
06/15/2022 13:39:23	00:16:22.813	120.000
06/15/2022 13:39:24	00:16:23.822	120.000
06/15/2022 13:39:25	00:16:24.823	120.000
06/15/2022 13:39:26	00:16:25.824	120.000
06/15/2022 13:39:27	00:16:26.826	120.000
06/15/2022 13:39:28	00:16:27.825	120.000
06/15/2022 13:39:29	00:16:28.831	120.000
06/15/2022 13:39:30	00:16:29.838	120.000
06/15/2022 13:39:31	00:16:30.840	120.000
06/15/2022 13:39:32	00:16:31.848	120.000
06/15/2022 13:39:33	00:16:32.856	120.000
06/15/2022 13:39:34	00:16:33.848	120.000
06/15/2022 13:39:35	00:16:34.848	120.000
06/15/2022 13:39:36	00:16:35.857	120.000
06/15/2022 13:39:37	00:16:36.859	120.000
06/15/2022 13:39:38	00:16:37.874	120.000
06/15/2022 13:39:39	00:16:38.878	120.000
06/15/2022 13:39:40	00:16:39.888	120.000
06/15/2022 13:39:41	00:16:40.900	120.000
06/15/2022 13:39:42	00:16:41.907	120.000
06/15/2022 13:39:44	00:16:42.911	120.000
06/15/2022 13:39:45	00:16:43.917	120.000
06/15/2022 13:39:46	00:16:44.917	120.000
06/15/2022 13:39:47	00:16:45.918	120.000
06/15/2022 13:39:48	00:16:46.926	120.000
06/15/2022 13:39:49	00:16:47.937	120.000
06/15/2022 13:39:50	00:16:48.935	120.000
06/15/2022 13:39:51	00:16:49.948	120.000
06/15/2022 13:39:52	00:16:50.956	120.000
06/15/2022 13:39:53	00:16:51.967	120.000
06/15/2022 13:39:54	00:16:52.971	120.000
06/15/2022 13:39:55	00:16:53.984	120.000
06/15/2022 13:39:56	00:16:54.987	120.000
06/15/2022 13:39:57	00:16:55.988	120.000
06/15/2022 13:39:58	00:16:56.988	120.000
06/15/2022 13:39:59	00:16:58.000	120.000
06/15/2022 13:40:00	00:16:59.000	120.000
06/15/2022 13:40:01	00:17:00.005	120.000
06/15/2022 13:40:02	00:17:01.012	120.000
06/15/2022 13:40:03	00:17:02.026	120.000
06/15/2022 13:40:04	00:17:03.033	120.000
06/15/2022 13:40:05	00:17:04.041	120.000
06/15/2022 13:40:06	00:17:05.042	120.000
06/15/2022 13:40:07	00:17:06.048	120.000
06/15/2022 13:40:08	00:17:07.059	120.000
06/15/2022 13:40:09	00:17:08.060	120.000
06/15/2022 13:40:10	00:17:09.064	120.000
06/15/2022 13:40:11	00:17:10.074	120.000
06/15/2022 13:40:12	00:17:11.085	120.000
06/15/2022 13:40:13	00:17:12.089	120.000
06/15/2022 13:40:14	00:17:13.093	120.000
06/15/2022 13:40:15	00:17:14.090	120.000
06/15/2022 13:40:16	00:17:15.089	120.000
06/15/2022 13:40:17	00:17:16.094	120.000
06/15/2022 13:40:18	00:17:17.109	120.000
06/15/2022 13:40:19	00:17:18.123	120.000
06/15/2022 13:40:20	00:17:19.129	120.000
06/15/2022 13:40:21	00:17:20.129	120.000
06/15/2022 13:40:22	00:17:21.140	120.000
06/15/2022 13:40:23	00:17:22.143	120.000
06/15/2022 13:40:24	00:17:23.154	120.000
06/15/2022 13:40:25	00:17:24.166	120.000
06/15/2022 13:40:26	00:17:25.177	120.000
06/15/2022 13:40:27	00:17:26.183	120.000
06/15/2022 13:40:28	00:17:27.192	120.000
06/15/2022 13:40:29	00:17:28.192	120.000
06/15/2022 13:40:30	00:17:29.203	120.000
06/15/2022 13:40:31	00:17:30.221	120.000
06/15/2022 13:40:32	00:17:31.214	120.000
06/15/2022 13:40:33	00:17:32.216	120.000
06/15/2022 13:40:34	00:17:33.225	120.000
06/15/2022 13:40:35	00:17:34.221	120.000
06/15/2022 13:40:36	00:17:35.222	120.000
06/15/2022 13:40:37	00:17:36.229	120.000
06/15/2022 13:40:38	00:17:37.230	120.000
06/15/2022 13:40:39	00:17:38.232	120.000
06/15/2022 13:40:40	00:17:39.235	120.000
06/15/2022 13:40:41	00:17:40.248	120.000
06/15/2022 13:40:42	00:17:41.245	120.000
06/15/2022 13:40:43	00:17:42.246	120.000
06/15/2022 13:40:44	00:17:43.251	120.000
06/15/2022 13:40:45	00:17:44.260	120.000
06/15/2022 13:40:46	00:17:45.269	120.000
06/15/2022 13:40:47	00:17:46.270	120.000
06/15/2022 13:40:48	00:17:47.276	120.000
06/15/2022 13:40:49	00:17:48.284	120.000
06/15/2022 13:40:50	00:17:49.290	120.000
06/15/2022 13:40:51	00:17:50.296	120.000
06/15/2022 13:40:52	00:17:51.293	120.000
06/15/2022 13:40:53	00:17:52.294	120.000
06/15/2022 13:40:54	00:17:53.309	120.000
06/15/2022 13:40:55	00:17:54.321	120.000
06/15/2022 13:40:56	00:17:55.329	120.000
06/15/2022 13:40:57	00:17:56.344	120.000
06/15/2022 13:40:58	00:17:57.348	120.000
06/15/2022 13:40:59	00:17:58.357	120.000
06/15/2022 13:41:00	00:17:59.361	120.000
06/15/2022 13:41:01	00:18:00.370	120.000
06/15/2022 13:41:02	00:18:01.376	120.000
06/15/2022 13:41:03	00:18:02.384	120.000
06/15/2022 13:41:04	00:18:03.386	120.000
06/15/2022 13:41:05	00:18:04.389	120.000
06/15/2022 13:41:06	00:18:05.394	120.000
06/15/2022 13:41:07	00:18:06.395	120.000
06/15/2022 13:41:08	00:18:07.402	120.000
06/15/2022 13:41:09	00:18:08.417	120.000
06/15/2022 13:41:10	00:18:09.423	120.000
06/15/2022 13:41:11	00:18:10.425	120.000
06/15/2022 13:41:12	00:18:11.434	120.000
06/15/2022 13:41:13	00:18:12.440	120.000
06/15/2022 13:41:14	00:18:13.451	120.000
06/15/2022 13:41:15	00:18:14.449	120.000
06/15/2022 13:41:16	00:18:15.455	120.000
06/15/2022 13:41:17	00:18:16.465	120.000
06/15/2022 13:41:18	00:18:17.470	120.000
06/15/2022 13:41:19	00:18:18.480	120.000
06/15/2022 13:41:20	00:18:19.480	120.000
06/15/2022 13:41:21	00:18:20.481	120.000
06/15/2022 13:41:22	00:18:21.482	120.000
06/15/2022 13:41:23	00:18:22.484	120.000
06/15/2022 13:41:24	00:18:23.485	120.000
06/15/2022 13:41:25	00:18:24.486	120.000
06/15/2022 13:41:26	00:18:25.489	120.000
06/15/2022 13:41:27	00:18:26.493	120.000
06/15/2022 13:41:28	00:18:27.495	120.000
06/15/2022 13:41:29	00:18:28.496	120.000
06/15/2022 13:41:30	00:18:29.501	120.000
06/15/2022 13:41:31	00:18:30.502	120.000
06/15/2022 13:41:32	00:18:31.505	120.000
06/15/2022 13:41:33	00:18:32.511	120.000
06/15/2022 13:41:34	00:18:33.512	120.000
06/15/2022 13:41:35	00:18:34.516	120.000
06/15/2022 13:41:36	00:18:35.525	120.000
06/15/2022 13:41:37	00:18:36.533	120.000
06/15/2022 13:41:38	00:18:37.543	120.000
06/15/2022 13:41:39	00:18:38.543	120.000
06/15/2022 13:41:40	00:18:39.543	120.000
06/15/2022 13:41:41	00:18:40.547	120.000
06/15/2022 13:41:42	00:18:41.558	120.000
06/15/2022 13:41:43	00:18:42.564	120.000
06/15/2022 13:41:44	00:18:43.572	120.000
06/15/2022 13:41:45	00:18:44.581	120.000
06/15/2022 13:41:46	00:18:45.591	120.000
06/15/2022 13:41:47	00:18:46.592	120.000
06/15/2022 13:41:48	00:18:47.605	120.000
06/15/2022 13:41:49	00:18:48.615	120.000
06/15/2022 13:41:50	00:18:49.627	120.000
06/15/2022 13:41:51	00:18:50.637	120.000
06/15/2022 13:41:52	00:18:51.648	120.000
06/15/2022 13:41:53	00:18:52.654	120.000
06/15/2022 13:41:54	00:18:53.660	120.000
06/15/2022 13:41:55	00:18:54.673	120.000
06/15/2022 13:41:56	00:18:55.673	120.000
06/15/2022 13:41:57	00:18:56.683	120.000
06/15/2022 13:41:58	00:18:57.681	120.000
06/15/2022 13:41:59	00:18:58.692	120.000
06/15/2022 13:42:00	00:18:59.700	120.000
06/15/2022 13:42:01	00:19:00.700	120.000
06/15/2022 13:42:02	00:19:01.713	120.000
06/15/2022 13:42:03	00:19:02.714	120.000
06/15/2022 13:42:04	00:19:03.715	120.000
06/15/2022 13:42:05	00:19:04.721	120.000
06/15/2022 13:42:06	00:19:05.721	120.000
06/15/2022 13:42:07	00:19:06.730	120.000
06/15/2022 13:42:08	00:19:07.731	120.000
06/15/2022 13:42:09	00:19:08.731	120.000
06/15/2022 13:42:10	00:19:09.745	120.000
06/15/2022 13:42:11	00:19:10.753	120.000
06/15/2022 13:42:12	00:19:11.761	120.000
06/15/2022 13:42:13	00:19:12.761	120.000
06/15/2022 13:42:14	00:19:13.767	120.000
06/15/2022 13:42:15	00:19:14.772	120.000
06/15/2022 13:42:16	00:19:15.778	120.000
06/15/2022 13:42:17	00:19:16.784	120.000
06/15/2022 13:42:18	00:19:17.784	120.000
06/15/2022 13:42:19	00:19:18.806	120.000
06/15/2022 13:42:20	00:19:19.793	120.000
06/15/2022 13:42:21	00:19:20.806	120.000
06/15/2022 13:42:22	00:19:21.809	120.000
06/15/2022 13:42:23	00:19:22.809	120.000
06/15/2022 13:42:24	00:19:23.816	120.000
06/15/2022 13:42:25	00:19:24.826	120.000
06/15/2022 13:42:26	00:19:25.843	120.000
06/15/2022 13:42:27	00:19:26.844	120.000
06/15/2022 13:42:28	00:19:27.856	120.000
06/15/2022 13:42:29	00:19:28.861	120.000
06/15/2022 13:42:30	00:19:29.871	120.000
06/15/2022 13:42:31	00:19:30.869	120.000
06/15/2022 13:42:32	00:19:31.870	120.000
06/15/2022 13:42:33	00:19:32.872	120.000
06/15/2022 13:42:34	00:19:33.876	120.000
06/15/2022 13:42:35	00:19:34.887	120.000
06/15/2022 13:42:36	00:19:35.888	120.000
06/15/2022 13:42:37	00:19:36.888	120.000
06/15/2022 13:42:38	00:19:37.907	120.000
06/15/2022 13:42:39	00:19:38.887	120.000
06/15/2022 13:42:40	00:19:39.890	120.000
06/15/2022 13:42:41	00:19:40.904	120.000
06/15/2022 13:42:43	00:19:41.917	120.000
06/15/2022 13:42:44	00:19:42.927	120.000
06/15/2022 13:42:45	00:19:43.932	120.000
06/15/2022 13:42:46	00:19:44.936	120.000
06/15/2022 13:42:47	00:19:45.943	120.000
06/15/2022 13:42:48	00:19:46.951	120.000
06/15/2022 13:42:49	00:19:47.956	120.000
06/15/2022 13:42:50	00:19:48.962	120.000
06/15/2022 13:42:51	00:19:49.964	120.000
06/15/2022 13:42:52	00:19:50.965	120.000
06/15/2022 13:42:53	00:19:51.970	120.000
06/15/2022 13:42:54	00:19:52.982	120.000
06/15/2022 13:42:55	00:19:53.999	120.000
06/15/2022 13:42:56	00:19:55.000	120.000
06/15/2022 13:42:57	00:19:56.013	120.000
06/15/2022 13:42:58	00:19:57.028	120.000
06/15/2022 13:42:59	00:19:58.034	120.000
06/15/2022 13:43:00	00:19:59.044	120.000
06/15/2022 13:43:01	00:20:00.058	120.000
06/15/2022 13:43:02	00:20:01.056	120.000
06/15/2022 13:43:03	00:20:02.058	120.000
06/15/2022 13:43:04	00:20:03.059	120.000
06/15/2022 13:43:05	00:20:04.066	120.000
06/15/2022 13:43:06	00:20:05.072	120.000
06/15/2022 13:43:07	00:20:06.082	120.000
06/15/2022 13:43:08	00:20:07.088	120.000
06/15/2022 13:43:09	00:20:08.097	120.000
06/15/2022 13:43:10	00:20:09.104	120.000
