Local Date/Time	Relative Time	pump-a:pressure [bar]
06/15/2022 13:46:01	00:23:00.208	374.633
06/15/2022 13:46:02	00:23:00.208	374.633
06/15/2022 13:46:02	00:23:00.579	374.751
06/15/2022 13:46:02	00:23:00.884	374.613
06/15/2022 13:46:03	00:23:01.284	374.751
06/15/2022 13:46:03	00:23:01.487	374.869
06/15/2022 13:46:04	00:23:03.230	374.869
06/15/2022 13:46:05	00:23:04.245	374.869
06/15/2022 13:46:06	00:23:04.245	374.869
06/15/2022 13:46:06	00:23:04.335	375.027
06/15/2022 13:46:06	00:23:04.539	375.145
06/15/2022 13:46:06	00:23:04.946	375.027
06/15/2022 13:46:07	00:23:06.167	375.205
06/15/2022 13:46:08	00:23:06.776	375.086
06/15/2022 13:46:09	00:23:07.495	375.224
06/15/2022 13:46:10	00:23:09.277	375.224
06/15/2022 13:46:11	00:23:10.277	375.224
06/15/2022 13:46:12	00:23:11.283	375.224
06/15/2022 13:46:13	00:23:11.283	375.224
06/15/2022 13:46:13	00:23:11.367	375.343
06/15/2022 13:46:14	00:23:13.292	375.343
06/15/2022 13:46:15	00:23:14.299	375.343
06/15/2022 13:46:16	00:23:15.298	375.343
06/15/2022 13:46:17	00:23:15.298	375.343
06/15/2022 13:46:17	00:23:15.737	375.205
06/15/2022 13:46:18	00:23:17.299	375.205
06/15/2022 13:46:19	00:23:18.307	375.205
06/15/2022 13:46:20	00:23:19.315	375.205
06/15/2022 13:46:21	00:23:20.323	375.205
06/15/2022 13:46:22	00:23:21.325	375.205
06/15/2022 13:46:23	00:23:21.325	375.205
06/15/2022 13:46:23	00:23:22.040	375.323
06/15/2022 13:46:24	00:23:23.339	375.323
06/15/2022 13:46:25	00:23:23.339	375.323
06/15/2022 13:46:25	00:23:23.664	375.461
06/15/2022 13:46:25	00:23:24.085	375.323
06/15/2022 13:46:26	00:23:25.199	375.165
06/15/2022 13:46:27	00:23:26.012	375.283
06/15/2022 13:46:28	00:23:27.360	375.283
06/15/2022 13:46:29	00:23:27.360	375.283
06/15/2022 13:46:29	00:23:28.347	375.421
06/15/2022 13:46:30	00:23:29.056	375.283
06/15/2022 13:46:31	00:23:30.370	375.283
06/15/2022 13:46:32	00:23:31.371	375.283
06/15/2022 13:46:33	00:23:31.371	375.283
06/15/2022 13:46:33	00:23:31.804	375.165
06/15/2022 13:46:33	00:23:32.314	375.283
06/15/2022 13:46:34	00:23:33.384	375.283
06/15/2022 13:46:35	00:23:33.384	375.283
06/15/2022 13:46:35	00:23:33.944	375.145
06/15/2022 13:46:36	00:23:35.386	375.145
06/15/2022 13:46:37	00:23:35.386	375.145
06/15/2022 13:46:37	00:23:36.178	375.027
06/15/2022 13:46:38	00:23:36.994	375.165
06/15/2022 13:46:39	00:23:37.498	375.047
06/15/2022 13:46:40	00:23:38.816	374.928
