Local Date/Time	Relative Time	pump-b:pressure [bar]
06/15/2022 13:26:21	00:03:19.814	0.769
06/15/2022 13:26:22	00:03:21.729	0.769
06/15/2022 13:26:23	00:03:21.729	0.769
06/15/2022 13:26:23	00:03:22.664	0.631
06/15/2022 13:26:24	00:03:23.073	0.749
06/15/2022 13:26:25	00:03:24.595	0.631
06/15/2022 13:26:26	00:03:25.000	0.789
06/15/2022 13:26:26	00:03:25.300	0.670
06/15/2022 13:26:26	00:03:25.706	0.789
06/15/2022 13:26:27	00:03:26.772	0.789
06/15/2022 13:26:28	00:03:26.772	0.789
06/15/2022 13:26:28	00:03:27.233	0.670
06/15/2022 13:26:29	00:03:28.800	0.670
06/15/2022 13:26:30	00:03:28.800	0.670
06/15/2022 13:26:30	00:03:29.778	0.809
06/15/2022 13:26:31	00:03:30.187	0.690
06/15/2022 13:26:32	00:03:30.892	0.828
06/15/2022 13:26:33	00:03:32.310	0.710
06/15/2022 13:26:34	00:03:33.538	0.828
06/15/2022 13:26:35	00:03:34.148	0.710
06/15/2022 13:26:36	00:03:35.769	0.848
06/15/2022 13:26:37	00:03:36.170	0.670
06/15/2022 13:26:39	00:03:37.917	0.670
06/15/2022 13:26:40	00:03:37.917	0.670
06/15/2022 13:26:40	00:03:38.298	0.552
06/15/2022 13:26:40	00:03:38.605	0.690
06/15/2022 13:26:41	00:03:39.724	0.828
06/15/2022 13:26:42	00:03:40.931	0.828
06/15/2022 13:26:43	00:03:40.931	0.828
06/15/2022 13:26:43	00:03:41.553	0.690
06/15/2022 13:26:44	00:03:41.954	0.809
06/15/2022 13:26:44	00:03:42.464	0.690
06/15/2022 13:26:45	00:03:43.932	0.690
06/15/2022 13:26:46	00:03:44.932	0.690
06/15/2022 13:26:47	00:03:45.932	0.690
06/15/2022 13:26:48	00:03:46.933	0.690
06/15/2022 13:26:49	00:03:47.931	0.690
06/15/2022 13:26:50	00:03:48.946	0.690
06/15/2022 13:26:51	00:03:49.947	0.690
06/15/2022 13:26:52	00:03:50.964	0.690
06/15/2022 13:26:53	00:03:51.962	0.690
06/15/2022 13:26:54	00:03:51.962	0.690
06/15/2022 13:26:54	00:03:52.798	0.809
06/15/2022 13:26:55	00:03:53.961	0.809
06/15/2022 13:26:56	00:03:54.963	0.809
06/15/2022 13:26:57	00:03:55.962	0.809
06/15/2022 13:26:58	00:03:56.964	0.809
06/15/2022 13:26:59	00:03:56.964	0.809
06/15/2022 13:26:59	00:03:57.466	0.670
06/15/2022 13:27:00	00:03:58.977	0.670
06/15/2022 13:27:01	00:03:59.979	0.670
06/15/2022 13:27:02	00:04:00.994	0.670
06/15/2022 13:27:03	00:04:00.994	0.670
06/15/2022 13:27:03	00:04:01.424	0.789
06/15/2022 13:27:04	00:04:02.994	0.789
06/15/2022 13:27:05	00:04:02.994	0.789
06/15/2022 13:27:05	00:04:03.658	0.670
06/15/2022 13:27:06	00:04:05.011	0.670
06/15/2022 13:27:07	00:04:05.011	0.670
06/15/2022 13:27:07	00:04:05.683	0.789
06/15/2022 13:27:08	00:04:07.000	0.670
06/15/2022 13:27:09	00:04:08.053	0.670
06/15/2022 13:27:10	00:04:09.065	0.670
06/15/2022 13:27:11	00:04:09.065	0.670
06/15/2022 13:27:11	00:04:09.838	0.789
06/15/2022 13:27:12	00:04:11.089	0.789
06/15/2022 13:27:13	00:04:11.089	0.789
06/15/2022 13:27:13	00:04:11.362	0.670
06/15/2022 13:27:13	00:04:11.872	0.789
06/15/2022 13:27:13	00:04:12.073	0.631
06/15/2022 13:27:14	00:04:12.680	0.749
06/15/2022 13:27:15	00:04:14.090	0.749
06/15/2022 13:27:16	00:04:15.102	0.749
06/15/2022 13:27:17	00:04:16.102	0.749
06/15/2022 13:27:18	00:04:16.102	0.749
06/15/2022 13:27:18	00:04:16.233	0.631
06/15/2022 13:27:18	00:04:16.533	0.769
06/15/2022 13:27:19	00:04:18.128	0.769
06/15/2022 13:27:20	00:04:19.141	0.769
06/15/2022 13:27:21	00:04:20.149	0.769
