Local Date/Time	Relative Time	pump-a:volume [%]
06/15/2022 13:24:20	00:01:19.045	75.411
06/15/2022 13:24:21	00:01:20.059	75.411
06/15/2022 13:24:22	00:01:21.071	75.411
06/15/2022 13:24:23	00:01:22.073	75.411
06/15/2022 13:24:24	00:01:22.073	75.411
06/15/2022 13:24:24	00:01:22.560	75.422
06/15/2022 13:24:25	00:01:24.075	75.422
06/15/2022 13:24:26	00:01:25.075	75.422
06/15/2022 13:24:27	00:01:26.090	75.422
06/15/2022 13:24:28	00:01:27.089	75.422
06/15/2022 13:24:29	00:01:28.091	75.422
06/15/2022 13:24:30	00:01:28.091	75.422
06/15/2022 13:24:30	00:01:29.036	75.432
06/15/2022 13:24:31	00:01:30.102	75.432
06/15/2022 13:24:32	00:01:31.104	75.432
06/15/2022 13:24:33	00:01:32.104	75.432
06/15/2022 13:24:34	00:01:33.106	75.432
06/15/2022 13:24:35	00:01:34.119	75.432
06/15/2022 13:24:36	00:01:35.133	75.432
06/15/2022 13:24:37	00:01:35.133	75.432
06/15/2022 13:24:37	00:01:35.425	75.442
06/15/2022 13:24:38	00:01:37.134	75.442
06/15/2022 13:24:39	00:01:38.134	75.442
06/15/2022 13:24:40	00:01:39.135	75.442
06/15/2022 13:24:41	00:01:40.137	75.442
06/15/2022 13:24:42	00:01:41.149	75.442
06/15/2022 13:24:43	00:01:41.149	75.442
06/15/2022 13:24:43	00:01:41.814	75.452
06/15/2022 13:24:44	00:01:43.165	75.452
06/15/2022 13:24:45	00:01:44.166	75.452
06/15/2022 13:24:46	00:01:45.168	75.452
06/15/2022 13:24:47	00:01:46.168	75.452
06/15/2022 13:24:48	00:01:47.170	75.452
06/15/2022 13:24:49	00:01:47.170	75.452
06/15/2022 13:24:49	00:01:47.991	75.462
06/15/2022 13:24:50	00:01:49.181	75.462
06/15/2022 13:24:51	00:01:50.199	75.462
06/15/2022 13:24:52	00:01:51.213	75.462
06/15/2022 13:24:53	00:01:52.228	75.462
06/15/2022 13:24:54	00:01:53.244	75.462
06/15/2022 13:24:55	00:01:54.246	75.462
06/15/2022 13:24:56	00:01:54.246	75.462
06/15/2022 13:24:56	00:01:54.861	75.475
06/15/2022 13:24:56	00:01:55.001	75.485
06/15/2022 13:24:56	00:01:55.221	75.500
06/15/2022 13:24:57	00:01:55.433	75.511
06/15/2022 13:24:57	00:01:55.678	75.524
06/15/2022 13:24:57	00:01:55.953	75.535
06/15/2022 13:24:58	00:01:56.261	75.546
06/15/2022 13:24:58	00:01:56.691	75.559
06/15/2022 13:24:58	00:01:57.274	75.570
06/15/2022 13:24:59	00:01:58.083	75.581
06/15/2022 13:25:00	00:01:59.277	75.581
06/15/2022 13:25:01	00:01:59.277	75.581
06/15/2022 13:25:01	00:01:59.605	75.591
06/15/2022 13:25:02	00:02:01.292	75.591
06/15/2022 13:25:03	00:02:02.305	75.591
06/15/2022 13:25:04	00:02:03.305	75.591
06/15/2022 13:25:05	00:02:03.305	75.591
06/15/2022 13:25:05	00:02:03.861	75.601
06/15/2022 13:25:06	00:02:05.321	75.601
06/15/2022 13:25:07	00:02:06.337	75.601
06/15/2022 13:25:08	00:02:07.352	75.601
06/15/2022 13:25:09	00:02:08.368	75.601
06/15/2022 13:25:10	00:02:09.383	75.601
06/15/2022 13:25:11	00:02:09.383	75.601
06/15/2022 13:25:11	00:02:09.951	75.611
06/15/2022 13:25:12	00:02:11.383	75.611
